Triplet	Occurrence,in,study
NPM1:IDH2:IDH1	5
NPM1:KIT:DNMT3A	5
NPM1:NF1:FLT3	5
NRAS:KRAS:FLT3	5
PHF6:NPM1:DNMT3A	5
RUNX1:DNMT3A:BCOR	5
RUNX1:FLT3:EZH2	5
RUNX1:IDH2:DNMT3A	5
SFRS2:NRAS:ASXL1	5
SFRS2:RUNX1:IDH1	5
STAG2:MLL:FLT3	5
STAG2:MLL:IDH2	5
STAG2:PTPN11:NPM1	5
TET2:DNMT3A:CEBPA	5
TET2:NPM1:CEBPA	5
TET2:RAD21:FLT3	5
TET2:RUNX1:DNMT3A	5
TET2:SFRS2:NPM1	5
TET2:STAG2:ASXL1	5
TET2:STAG2:FLT3	5
WT1:FLT3:CEBPA	5
WT1:NRAS:CEBPA	5
minus5_5q:TP53:NRAS	5
minus7:RUNX1:PTPN11	5
minus7:TP53:DNMT3A	5
minus7:minus5_5q:NRAS	5
del7q:IDH2:DNMT3A	5
plus8_8q:IDH2:DNMT3A	5
plus8_8q:NRAS:FLT3	5
plus8_8q:RUNX1:FLT3	5
mono17_17p_abn17p:minus5_5q:DNMT3A	5
mono17_17p_abn17p:other7:TP53	5
mono17_17p_abn17p:plus8_8q:TP53	5
mono17_17p_abn17p:plus8_8q:minus5_5q	5
mono17_17p_abn17p:mono12_12p_abn12p:minus9q	5
minus18_18q:mono17_17p_abn17p:minus7	5
minus20_20q:minus7:TP53	5
minus20_20q:minus7:minus5_5q	5
minus20_20q:mono17_17p_abn17p:minus7	5
minus20_20q:minus18_18q:TP53	5
plus21:plus13:plus8_8q	5
plus22:plus8_8q:NRAS	5
t_15_17:plus8_8q:FLT3	5
inv16_t16_16:plus22:plus8_8q	5
abn3q_other:minus7:TP53	5
abn3q_other:mono17_17p_abn17p:mono12_12p_abn12p	5
abn3q_other:minus20_20q:minus5_5q	5
mono4_4q_abn4q:TP53:DNMT3A	5
mono4_4q_abn4q:minus5_5q:DNMT3A	5
mono4_4q_abn4q:minus7:minus5_5q	5
mono4_4q_abn4q:abn3q_other:minus5_5q	5
Complex:SFRS2:RUNX1	5
Complex:TP53:PTPN11	5
Complex:minus9q:minus7	5
Complex:minus9q:plus8_8q	5
Complex:mono12_12p_abn12p:NRAS	5
Complex:mono12_12p_abn12p:del7q	5
Complex:mono17_17p_abn17p:PTPN11	5
Complex:minus20_20q:minus18_18q	5
Complex:plus21:NRAS	5
Complex:plus21:plus13	5
Complex:plus22:NRAS	5
Complex:plus22:plus13	5
Complex:plus22:plus21	5
Complex:t_8_21:minusY	5
Complex:abn3q_other:DNMT3A	5
Complex:abn3q_other:plus8_8q	5
Complex:plus11_11q:plus8_8q	5
Complex:mono4_4q_abn4q:DNMT3A	5
